id,title,genres,averageRating,numVotes,releaseYear
tt2017109,Banshee,"Action, Crime, Drama",8.4,129718,2013
tt0458290,"Star Wars: The Clone Wars","Action, Adventure, Animation",8.4,125916,2008
tt2149175,"The Americans","Crime, Drama, Mystery",8.4,114086,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,112301,2006
tt0118480,"Stargate SG-1","Action, Adventure, Drama",8.4,103103,1997
tt2788432,"American Crime Story","Biography, Crime, Drama",8.4,99926,2016
tt9059760,"Normal People","Drama, Romance",8.4,97343,2020
tt1220617,"The Inbetweeners",Comedy,8.4,96055,2008
tt0060028,"Star Trek","Action, Adventure, Sci-Fi",8.4,94871,1966
tt6473300,Mirzapur,"Action, Crime, Drama",8.4,87728,2018
